"week","gamma_infectious","true_infectious"
0.142857142857143,11.9246206186045,15
0.285714285714286,9.49422189218383,23
0.428571428571429,16.136534782695,32
0.571428571428571,26.2841907547328,38
0.714285714285714,26.1203368974265,41
0.857142857142857,41.1850487947521,40
1,53.1003512212544,57
1.14285714285714,63.905000635473,60
1.28571428571429,63.0217616310351,77
1.42857142857143,97.0158786125638,96
1.57142857142857,120.136020509402,110
1.71428571428571,114.88387939528,130
1.85714285714286,161.32279839786,154
2,169.507666446883,167
2.14285714285714,196.370237171,190
2.28571428571429,184.483495482238,207
2.42857142857143,192.481565145866,234
2.57142857142857,240.375770744154,279
2.71428571428571,259.079759133749,303
2.85714285714286,351.13153478102,312
3,382.507291663146,322
3.14285714285714,438.901110414115,340
3.28571428571429,457.496478696368,347
3.42857142857143,427.115702334374,355
3.57142857142857,480.345816795167,424
3.71428571428571,466.618887254019,446
3.85714285714286,449.135618413411,443
4,442.396681981871,459
4.14285714285714,373.666976995986,458
4.28571428571429,394.111945542527,467
4.42857142857143,413.959947629416,434
4.57142857142857,428.864289707525,428
4.71428571428571,398.033279361524,408
4.85714285714286,378.150456772623,362
5,356.448530280074,362
5.14285714285714,285.476567561223,296
5.28571428571429,269.897285597195,256
5.42857142857143,204.789863828382,199
5.57142857142857,153.243974239999,147
5.71428571428571,125.28639510291,124
5.85714285714286,108.565493783877,98
6,84.5350999179035,86
6.14285714285714,66.5651396324331,58
6.28571428571429,51.3234751715615,43
6.42857142857143,43.6854895111308,33
6.57142857142857,31.1176714550577,23
6.71428571428571,20.5554762778581,13
6.85714285714286,13.5272208090361,10
7,12.2183376368829,7
7.14285714285714,8.12073814948196,5
7.28571428571429,8.35287096181694,6
7.42857142857143,8.42414536416038,5
7.57142857142857,5.65223232381262,3
7.71428571428571,3.76302339272413,3
7.85714285714286,2.49694340069561,1
8,1.65443082313761,2
8.14285714285714,1.09647972574715,2
8.28571428571428,0.727247884709253,1
8.42857142857143,0.477680699093885,0
8.57142857142857,0.314518453430166,0
8.71428571428571,0.203620895090535,0
8.85714285714286,0.133240745993453,0
9,0.0866952921360081,0
9.14285714285714,0.0574437136271754,0
9.28571428571428,0.0381568447438731,0
9.42857142857143,0.0258007794139703,0
9.57142857142857,0.0161524050514514,0
9.71428571428571,0.010642084914692,0
9.85714285714286,0.00725572856212924,0
10,0.0052903698990834,0
