"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9981,15,4,9,3
0.285714285714286,"1",9969,23,8,12,0
0.428571428571429,"1",9955,32,13,14,7
0.571428571428571,"1",9935,38,27,20,11
0.714285714285714,"1",9912,41,47,23,4
0.857142857142857,"1",9895,40,65,17,16
1,"1",9863,57,80,32,15
1.14285714285714,"1",9832,60,108,31,16
1.28571428571429,"1",9797,77,126,35,10
1.42857142857143,"1",9745,96,159,52,37
1.57142857142857,"1",9690,110,200,55,32
1.71428571428571,"1",9619,130,251,71,16
1.85714285714286,"1",9540,154,306,79,55
2,"1",9459,167,374,81,32
2.14285714285714,"1",9372,190,438,87,49
2.28571428571429,"1",9271,207,522,101,26
2.42857142857143,"1",9155,234,611,116,40
2.57142857142857,"1",9012,279,709,143,74
2.71428571428571,"1",8868,303,829,144,57
2.85714285714286,"1",8728,312,960,140,125
3,"1",8594,322,1084,134,83
3.14285714285714,"1",8444,340,1216,150,112
3.28571428571429,"1",8285,347,1368,159,91
3.42857142857143,"1",8123,355,1522,162,61
3.57142857142857,"1",7912,424,1664,211,126
3.71428571428571,"1",7714,446,1840,198,81
3.85714285714286,"1",7538,443,2019,176,79
4,"1",7346,459,2195,192,86
4.14285714285714,"1",7156,458,2386,190,39
4.28571428571429,"1",6968,467,2565,188,97
4.42857142857143,"1",6793,434,2773,175,101
4.57142857142857,"1",6649,428,2923,144,100
4.71428571428571,"1",6499,408,3093,150,63
4.85714285714286,"1",6377,362,3261,122,68
5,"1",6248,362,3390,129,63
5.14285714285714,"1",6188,296,3516,60,23
5.28571428571429,"1",6137,256,3607,51,51
5.42857142857143,"1",6093,199,3708,44,12
5.57142857142857,"1",6067,147,3786,26,9
5.71428571428571,"1",6038,124,3838,29,14
5.85714285714286,"1",6021,98,3881,17,16
6,"1",6005,86,3909,16,7
6.14285714285714,"1",5996,58,3946,9,6
6.28571428571429,"1",5988,43,3969,8,4
6.42857142857143,"1",5980,33,3987,8,6
6.57142857142857,"1",5975,23,4002,5,1
6.71428571428571,"1",5974,13,4013,1,0
6.85714285714286,"1",5974,10,4016,0,0
7,"1",5971,7,4022,3,2
7.14285714285714,"1",5971,5,4024,0,0
7.28571428571429,"1",5969,6,4025,2,2
7.42857142857143,"1",5968,5,4027,1,2
7.57142857142857,"1",5968,3,4029,0,0
7.71428571428571,"1",5968,3,4029,0,0
7.85714285714286,"1",5968,1,4031,0,0
8,"1",5967,2,4031,1,0
8.14285714285714,"1",5967,2,4031,0,0
8.28571428571428,"1",5967,1,4032,0,0
8.42857142857143,"1",5967,0,4033,0,0
8.57142857142857,"1",5967,0,4033,0,0
8.71428571428571,"1",5967,0,4033,0,0
8.85714285714286,"1",5967,0,4033,0,0
9,"1",5967,0,4033,0,0
9.14285714285714,"1",5967,0,4033,0,0
9.28571428571428,"1",5967,0,4033,0,0
9.42857142857143,"1",5967,0,4033,0,0
9.57142857142857,"1",5967,0,4033,0,0
9.71428571428571,"1",5967,0,4033,0,0
9.85714285714286,"1",5967,0,4033,0,0
10,"1",5967,0,4033,0,0
