"task_id","simulation_seed","best_run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","final_pf_logLik","fit_success","final_pf_success","status"
1,1001,1,2,0.1,4.33609630927602,0.21536754334235,-184.847324460705,0.0235154921170838,5,-184.825975424596,TRUE,TRUE,"success"
2,1002,9,6,0.45,4.60192525068267,0.250565185874813,-195.959523019814,0.0100284585057148,5,-196.021056898393,TRUE,TRUE,"success"
3,1003,3,6,0.1,3.76643323581901,0.41246440253688,-142.308612420738,0.0373457543547895,5,-142.550815767467,TRUE,TRUE,"success"
4,1004,6,6,0.3,4.37188380626113,0.178522564859799,-206.232097625378,0.0202430292854611,5,-206.316761088178,TRUE,TRUE,"success"
5,1005,8,4,0.45,3.81465701284101,0.318984643124471,-189.238308024468,0.0131653728565936,5,-189.310142924685,TRUE,TRUE,"success"
6,1006,5,4,0.3,3.25567422499646,0.26671599824613,-190.027484593678,0.0186607386689855,5,-190.099174591686,TRUE,TRUE,"success"
7,1007,1,2,0.1,4.57419118857791,0.286942483642045,-204.871364883367,0.0223518260994401,5,-204.982927982052,TRUE,TRUE,"success"
8,1008,6,6,0.3,4.32606019105185,0.257888289244002,-217.246449664934,0.0326979062955306,5,-217.405081226435,TRUE,TRUE,"success"
9,1009,2,4,0.1,4.54246924698395,0.214153900419645,-200.238256557971,0.0281068346904965,5,-200.240081558824,TRUE,TRUE,"success"
10,1010,1,2,0.1,3.53636973034169,0.217586074943185,-188.326248290786,0.0516693865671776,5,-188.412592795962,TRUE,TRUE,"success"
11,1011,4,2,0.3,4.3351099539335,0.239621453291979,-220.068353654269,0.0275484705128044,5,-220.028080680026,TRUE,TRUE,"success"
12,1012,8,4,0.45,4.26890529259525,0.416361365945935,-192.809566823947,0.0109879211942937,5,-192.832282077395,TRUE,TRUE,"success"
13,1013,5,4,0.3,4.34589790873574,0.210878513384993,-197.947331329189,0.0144373529100406,5,-197.948797968957,TRUE,TRUE,"success"
14,1014,4,2,0.3,4.09299252036148,0.278568151193847,-215.99908246321,0.0434021144561729,5,-216.288324556645,TRUE,TRUE,"success"
15,1015,7,2,0.45,3.87667493341252,0.276596142154193,-210.284915672949,0.0295683210841464,5,-210.401677752092,TRUE,TRUE,"success"
