"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
1,1001,1,2,0.1,4.33609630927602,0.21536754334235,-184.847324460705,0.0235154921170838,5,"success",NA
1,1001,2,4,0.1,4.1786798088406,0.228185537895856,-184.896990367418,0.0104919107103276,5,"success",NA
1,1001,3,6,0.1,4.34084289215279,0.223371772450965,-184.860989475742,0.014525648438463,5,"success",NA
1,1001,4,2,0.3,4.30794418834224,0.218940744757889,-184.863820066157,0.0127792948919444,5,"success",NA
1,1001,5,4,0.3,4.20570326923829,0.21408944440095,-184.87569395935,0.00323864506144865,5,"success",NA
1,1001,6,6,0.3,4.36151507221931,0.21771074841099,-184.861945242825,0.011626339204072,5,"success",NA
1,1001,7,2,0.45,4.37460786433047,0.225868203370503,-184.880478650909,0.0126695140144885,5,"success",NA
1,1001,8,4,0.45,4.30793486623145,0.217596679818706,-184.862125020781,0.0179564385269886,5,"success",NA
1,1001,9,6,0.45,4.38165445013887,0.215964053130613,-184.865326118093,0.0109934816304094,5,"success",NA
2,1002,1,2,0.1,4.62204269876531,0.261513155672909,-196.018708357958,0.0134083361493223,5,"success",NA
2,1002,2,4,0.1,4.77111934234326,0.262100528284818,-196.014071447898,0.0109927399809301,5,"success",NA
2,1002,3,6,0.1,4.52651918709843,0.257127790103504,-196.032063572467,0.0127857270510361,5,"success",NA
2,1002,4,2,0.3,4.73920940887641,0.266974313725127,-196.034169262413,0.0197980363038665,5,"success",NA
2,1002,5,4,0.3,4.5693429248149,0.256679617639328,-195.990903424384,0.011402691559938,5,"success",NA
2,1002,6,6,0.3,4.75285259784757,0.251880412920864,-195.96997670276,0.00522725720807944,5,"success",NA
2,1002,7,2,0.45,4.65987723491098,0.263708558325987,-195.999851503676,0.0154378961392418,5,"success",NA
2,1002,8,4,0.45,4.79040186938836,0.264720645347557,-196.033997857867,0.0115198505272531,5,"success",NA
2,1002,9,6,0.45,4.60192525068267,0.250565185874813,-195.959523019814,0.0100284585057148,5,"success",NA
3,1003,1,2,0.1,3.81600260854067,0.381158668081779,-142.414187623544,0.036668353296627,5,"success",NA
3,1003,2,4,0.1,3.47195344717161,0.425178846166294,-142.413596651418,0.00451366427273324,5,"success",NA
3,1003,3,6,0.1,3.76643323581901,0.41246440253688,-142.308612420738,0.0373457543547895,5,"success",NA
3,1003,4,2,0.3,3.52961578625499,0.395569784705657,-142.365721704134,0.0211891806358918,5,"success",NA
3,1003,5,4,0.3,3.58343437360816,0.440572229725858,-142.347403308804,0.023967885370286,5,"success",NA
3,1003,6,6,0.3,3.54883771590039,0.39218439049604,-142.330171961356,0.0187692293790933,5,"success",NA
3,1003,7,2,0.45,3.48926956528787,0.435653083017657,-142.352818903441,0.0350153517476016,5,"success",NA
3,1003,8,4,0.45,4.06075545023508,0.407935821867758,-142.34269996419,0.0339088255691291,5,"success",NA
3,1003,9,6,0.45,3.3568151669195,0.390829823900802,-142.340452588315,0.0262447598518143,5,"success",NA
4,1004,1,2,0.1,4.35257947147072,0.178031835536535,-206.265882655101,0.0272524152647136,5,"success",NA
4,1004,2,4,0.1,4.37852611038118,0.186001549974264,-206.265274137733,0.0199184833202586,5,"success",NA
4,1004,3,6,0.1,4.28491334096052,0.184944180943067,-206.295688481703,0.0125681386541787,5,"success",NA
4,1004,4,2,0.3,4.26552762991703,0.181370699880868,-206.260797844542,0.0064359498251077,5,"success",NA
4,1004,5,4,0.3,4.26976642061832,0.183197522748192,-206.261736084484,0.0286394670690204,5,"success",NA
4,1004,6,6,0.3,4.37188380626113,0.178522564859799,-206.232097625378,0.0202430292854611,5,"success",NA
4,1004,7,2,0.45,4.27927651814075,0.184483659893932,-206.267626181787,0.022368383004907,5,"success",NA
4,1004,8,4,0.45,4.25174631459359,0.192042032620531,-206.290314228858,0.00843626981689397,5,"success",NA
