"task_id","simulation_seed","week",".id","S","I","R","H","reports"
1,1001,0.142857142857143,1,9983,12,5,7,3
1,1001,0.285714285714286,1,9978,10,12,5,2
1,1001,0.428571428571429,1,9967,18,15,11,5
1,1001,0.571428571428571,1,9956,22,22,11,4
1,1001,0.714285714285714,1,9935,37,28,21,11
1,1001,0.857142857142857,1,9922,35,43,13,5
1,1001,1,1,9898,45,57,24,10
1,1001,1.14285714285714,1,9865,56,79,33,12
1,1001,1.28571428571429,1,9834,63,103,31,13
1,1001,1.42857142857143,1,9788,79,133,46,26
1,1001,1.57142857142857,1,9753,83,164,35,16
1,1001,1.71428571428571,1,9694,111,195,59,37
1,1001,1.85714285714286,1,9630,131,239,64,59
1,1001,2,1,9527,172,301,103,48
1,1001,2.14285714285714,1,9448,170,382,79,60
1,1001,2.28571428571429,1,9362,183,455,86,48
1,1001,2.42857142857143,1,9263,215,522,99,49
1,1001,2.57142857142857,1,9150,243,607,113,32
1,1001,2.71428571428571,1,9036,237,727,114,65
1,1001,2.85714285714286,1,8901,269,830,135,78
1,1001,3,1,8760,299,941,141,79
1,1001,3.14285714285714,1,8612,323,1065,148,108
1,1001,3.28571428571429,1,8436,367,1197,176,94
1,1001,3.42857142857143,1,8237,417,1346,199,125
1,1001,3.57142857142857,1,8039,452,1509,198,136
1,1001,3.71428571428571,1,7856,445,1699,183,123
1,1001,3.85714285714286,1,7657,449,1894,199,86
1,1001,4,1,7480,423,2097,177,79
1,1001,4.14285714285714,1,7280,464,2256,200,130
1,1001,4.28571428571429,1,7073,455,2472,207,94
1,1001,4.42857142857143,1,6912,452,2636,161,78
1,1001,4.57142857142857,1,6751,417,2832,161,84
1,1001,4.71428571428571,1,6561,436,3003,190,119
1,1001,4.85714285714286,1,6410,397,3193,151,45
1,1001,5,1,6284,377,3339,126,54
1,1001,5.14285714285714,1,6231,288,3481,53,44
1,1001,5.28571428571429,1,6185,231,3584,46,31
1,1001,5.42857142857143,1,6156,177,3667,29,15
1,1001,5.57142857142857,1,6127,140,3733,29,16
1,1001,5.71428571428571,1,6105,101,3794,22,8
1,1001,5.85714285714286,1,6091,73,3836,14,6
1,1001,6,1,6078,65,3857,13,8
1,1001,6.14285714285714,1,6071,49,3880,7,8
1,1001,6.28571428571429,1,6067,30,3903,4,3
1,1001,6.42857142857143,1,6061,23,3916,6,3
1,1001,6.57142857142857,1,6058,18,3924,3,1
1,1001,6.71428571428571,1,6052,20,3928,6,5
1,1001,6.85714285714286,1,6049,18,3933,3,1
1,1001,7,1,6046,14,3940,3,1
1,1001,7.14285714285714,1,6044,12,3944,2,1
1,1001,7.28571428571429,1,6042,9,3949,2,0
1,1001,7.42857142857143,1,6039,8,3953,3,0
1,1001,7.57142857142857,1,6039,3,3958,0,0
1,1001,7.71428571428571,1,6037,3,3960,2,0
1,1001,7.85714285714286,1,6037,2,3961,0,0
1,1001,8,1,6037,1,3962,0,0
1,1001,8.14285714285714,1,6036,1,3963,1,0
1,1001,8.28571428571428,1,6036,1,3963,0,0
1,1001,8.42857142857143,1,6036,1,3963,0,0
1,1001,8.57142857142857,1,6036,0,3964,0,0
1,1001,8.71428571428571,1,6036,0,3964,0,0
1,1001,8.85714285714286,1,6036,0,3964,0,0
1,1001,9,1,6036,0,3964,0,0
1,1001,9.14285714285714,1,6036,0,3964,0,0
1,1001,9.28571428571428,1,6036,0,3964,0,0
1,1001,9.42857142857143,1,6036,0,3964,0,0
1,1001,9.57142857142857,1,6036,0,3964,0,0
1,1001,9.71428571428571,1,6036,0,3964,0,0
1,1001,9.85714285714286,1,6036,0,3964,0,0
1,1001,10,1,6036,0,3964,0,0
2,1002,0.142857142857143,1,9982,13,5,8,4
2,1002,0.285714285714286,1,9974,15,11,8,6
2,1002,0.428571428571429,1,9961,23,16,13,4
2,1002,0.571428571428571,1,9945,32,23,16,10
2,1002,0.714285714285714,1,9928,37,35,17,11
2,1002,0.857142857142857,1,9900,45,55,28,15
2,1002,1,1,9879,46,75,21,12
2,1002,1.14285714285714,1,9853,55,92,26,11
2,1002,1.28571428571429,1,9819,66,115,34,18
2,1002,1.42857142857143,1,9774,75,151,45,31
2,1002,1.57142857142857,1,9722,88,190,52,26
2,1002,1.71428571428571,1,9676,92,232,46,23
2,1002,1.85714285714286,1,9628,112,260,48,13
2,1002,2,1,9548,146,306,80,34
2,1002,2.14285714285714,1,9461,188,351,87,26
2,1002,2.28571428571429,1,9353,220,427,108,63
2,1002,2.42857142857143,1,9213,264,523,140,42
2,1002,2.57142857142857,1,9064,313,623,149,124
2,1002,2.71428571428571,1,8889,353,758,175,91
2,1002,2.85714285714286,1,8669,435,896,220,75
2,1002,3,1,8462,461,1077,207,141
2,1002,3.14285714285714,1,8225,494,1281,237,170
2,1002,3.28571428571429,1,8009,511,1480,216,96
2,1002,3.42857142857143,1,7766,535,1699,243,267
2,1002,3.57142857142857,1,7506,580,1914,260,73
2,1002,3.71428571428571,1,7228,621,2151,278,116
2,1002,3.85714285714286,1,6983,615,2402,245,106
2,1002,4,1,6740,596,2664,243,184
2,1002,4.14285714285714,1,6526,567,2907,214,56
2,1002,4.28571428571429,1,6322,537,3141,204,194
2,1002,4.42857142857143,1,6112,520,3368,210,103
2,1002,4.57142857142857,1,5955,440,3605,157,48
2,1002,4.71428571428571,1,5805,400,3795,150,96
2,1002,4.85714285714286,1,5678,379,3943,127,77
2,1002,5,1,5571,342,4087,107,50
2,1002,5.14285714285714,1,5509,278,4213,62,35
2,1002,5.28571428571429,1,5472,194,4334,37,16
2,1002,5.42857142857143,1,5444,148,4408,28,11
2,1002,5.57142857142857,1,5417,121,4462,27,15
2,1002,5.71428571428571,1,5399,85,4516,18,8
