"task_id","best_run","best_logLik","second_best_logLik","logLik_gap"
1,1,-184.847324460705,-184.860989475742,0.0136650150369917
2,9,-195.959523019814,-195.96997670276,0.0104536829460073
3,3,-142.308612420738,-142.330171961356,0.021559540618
4,6,-206.232097625378,-206.260797844542,0.0287002191639942
5,8,-189.238308024468,-189.251659057082,0.013351032613997
6,5,-190.027484593678,-190.033643780974,0.0061591872959923
7,1,-204.871364883367,-204.883300249076,0.0119353657090073
8,6,-217.246449664934,-217.283877966865,0.0374283019309871
9,2,-200.238256557971,-200.246051127629,0.00779456965798886
10,1,-188.326248290786,-188.401339820841,0.0750915300550048
11,4,-220.068353654269,-220.078902177655,0.0105485233860065
12,8,-192.809566823947,-192.810790130581,0.00122330663401726
13,5,-197.947331329189,-197.966036476559,0.0187051473699853
14,4,-215.99908246321,-216.012123042094,0.0130405788840164
15,7,-210.284915672949,-210.291986425484,0.00707075253498601
16,4,-197.061218175587,-197.071587214812,0.0103690392250257
17,7,-165.61296683173,-165.634225088729,0.0212582569990047
18,6,-174.025133940068,-174.034283410517,0.00914947044898895
19,2,-191.599898768324,-191.623742433917,0.0238436655929775
20,2,-206.48956808908,-206.554807408585,0.0652393195049967
21,8,-188.588725233665,-188.616465459541,0.0277402258759878
22,2,-185.273540673627,-185.286428230498,0.012887556870993
23,9,-192.058884143254,-192.096794933427,0.0379107901729867
24,7,-192.43630138791,-192.447265185962,0.0109637980520176
25,4,-189.249724261563,-189.36760546624,0.117881204677019
26,9,-195.225122878305,-195.230025691351,0.00490281304598739
27,2,-195.441494359341,-195.442720930153,0.00122657081200828
28,1,-200.719969588026,-200.727031271328,0.0070616833019983
29,3,-177.00401688517,-177.017044612201,0.013027727031016
30,1,-213.209651579921,-213.223096983452,0.0134454035309943
31,5,-167.892190175172,-167.905972541824,0.0137823666520092
32,8,-207.060103994174,-207.063258666158,0.00315467198399233
33,5,-209.777120602448,-209.779761386619,0.00264078417097835
34,7,-188.808971025954,-188.83571195292,0.0267409269659993
35,9,-191.411394331723,-191.418220811828,0.00682648010501907
36,4,-190.464344451921,-190.469129626627,0.00478517470600082
37,9,-188.174536305247,-188.177180073488,0.00264376824100054
38,3,-163.175608529682,-163.197696953514,0.0220884238320025
39,5,-207.429971145712,-207.431754662912,0.00178351720001046
40,7,-191.259300751775,-191.268992408637,0.00969165686200313
41,7,-189.666654183002,-189.696324994082,0.0296708110799955
42,7,-210.636542030499,-210.648427887626,0.0118858571270266
43,7,-198.054100016206,-198.099604790938,0.0455047747319952
44,4,-201.625715131849,-201.637570384618,0.0118552527689815
45,8,-195.032380073911,-195.034628978973,0.00224890506197539
46,2,-199.886657972022,-199.891070542707,0.00441257068501955
47,5,-192.234182290588,-192.282580537923,0.0483982473350011
48,7,-183.870614624048,-183.875490772621,0.004876148573004
49,2,-165.086725758399,-165.100716857965,0.0139910995659989
50,1,-199.778045496739,-199.786892558994,0.00884706225500054
51,4,-206.114544097411,-206.117510671944,0.00296657453299076
52,4,-202.383547480191,-202.408681376151,0.0251338959600105
53,5,-193.814171726742,-193.835662368881,0.021490642139014
54,4,-197.541864693043,-197.579277575563,0.0374128825199875
55,1,-175.158147942061,-175.180814515258,0.0226665731970002
56,7,-188.417813935665,-188.423215673109,0.00540173744400363
57,5,-128.900951225911,-128.924401348854,0.0234501229429895
58,7,-188.060135780053,-188.061091192083,0.000955412030009484
59,8,-197.892133230513,-197.892782391019,0.000649160506014823
60,8,-206.953119600744,-206.968052650035,0.0149330492909883
61,1,-207.417081356417,-207.423511333368,0.00642997695101144
62,3,-192.923933927578,-192.956441861723,0.0325079341450021
63,1,-189.636224986733,-189.682263614882,0.0460386281490059
64,4,-189.055995577349,-189.07439991685,0.0184043395010178
65,4,-200.11564420332,-200.134742483249,0.0190982799290111
66,3,-208.94614016983,-208.965726716405,0.0195865465749989
67,8,-187.856149882712,-187.871114861936,0.0149649792240041
68,7,-192.515527017886,-192.519323978801,0.00379696091499682
69,4,-177.971970215495,-178.040322407126,0.0683521916310212
70,6,-183.296835209113,-183.297077962775,0.000242753662007544
71,9,-208.348513857788,-208.352735160524,0.00422130273599919
72,3,-186.608273743149,-186.622554684824,0.0142809416749969
73,5,-192.686900595628,-192.689652792716,0.00275219708800023
74,4,-200.173964148693,-200.188412145433,0.0144479967400173
75,7,-182.749461216862,-182.753560196686,0.00409897982402185
76,5,-212.867802428617,-212.870868654703,0.00306622608599127
77,4,-192.75325800703,-192.75840400261,0.00514599557999418
78,5,-207.115520223478,-207.12141773173,0.00589750825199076
79,9,-199.155983248869,-199.167839021885,0.0118557730159807
80,9,-189.619930021977,-189.65136803099,0.0314380090129873
81,2,-193.482457490396,-193.522238169343,0.039780678947011
82,8,-188.019416044617,-188.04128478257,0.0218687379529854
83,2,-191.055422986414,-191.071058935785,0.015635949371017
84,9,-168.874066268521,-168.895000076386,0.0209338078649921
85,7,-196.218819380061,-196.232317805472,0.0134984254110009
86,5,-147.83927515028,-147.840599501305,0.00132435102500494
87,7,-209.887854619446,-209.899779005906,0.0119243864600094
88,8,-208.716896906154,-208.723366935598,0.00647002944398878
89,8,-184.197976584012,-184.201328704613,0.00335212060099366
90,4,-191.928233164445,-191.946442567916,0.0182094034709905
91,2,-184.977193606609,-184.983802954201,0.00660934759198994
92,6,-190.598579168998,-190.601961252201,0.00338208320300737
93,1,-196.038064566827,-196.050273789555,0.0122092227280177
94,1,-212.23686884762,-212.249459311618,0.0125904639980092
95,7,-187.409338992447,-187.422311280174,0.0129722877269955
96,2,-188.623977880364,-188.630388223095,0.0064103427309874
97,4,-204.06176109895,-204.098578189396,0.036817090445993
98,1,-173.730395407288,-173.732395510322,0.00200010303399267
99,1,-181.48290106343,-181.507802922401,0.024901858970992
100,9,-198.756600007126,-198.772088702424,0.0154886952980178
101,1,-182.807432756745,-182.813803432204,0.00637067545901004
102,5,-138.971486818092,-138.996649342082,0.0251625239900193
103,9,-195.777944244592,-195.820923305665,0.0429790610729981
104,2,-179.785436357651,-179.812555635352,0.0271192777009901
105,3,-200.241588415772,-200.268621614463,0.0270331986910151
106,1,-191.031785486699,-191.033977223877,0.00219173717800913
107,6,-203.735602426727,-203.757830910327,0.0222284835999744
108,4,-207.404911199798,-207.408445277747,0.00353407794901273
109,4,-179.609429107957,-179.62987126305,0.0204421550930078
110,3,-199.649629713827,-199.654266965059,0.00463725123199765
111,1,-188.002096234068,-188.002654653873,0.000558419805003041
112,6,-185.830513068822,-185.833460627535,0.00294755871300367
113,7,-199.230351747761,-199.237434373507,0.00708262574599416
114,6,-190.789017655342,-190.804194203139,0.0151765477969832
115,9,-210.163584453402,-210.179743453207,0.0161589998050147
116,2,-200.193984463392,-200.20253329645,0.00854883305800058
117,5,-184.274580117787,-184.297066381097,0.0224862633100145
118,4,-198.654721132339,-198.666279992683,0.011558860343996
119,1,-204.891004001425,-204.891442624426,0.000438623001002725
120,8,-183.580895204744,-183.582634303227,0.00173909848300013
121,5,-202.084552385679,-202.089040871889,0.00448848621002185
122,3,-181.892049960934,-181.900547130106,0.00849716917198862
123,1,-190.362708326798,-190.389640685248,0.026932358449983
124,9,-190.14960527183,-190.159850058131,0.0102447863010013
125,3,-193.667651032253,-193.685220917269,0.0175698850160018
126,8,-197.283221386914,-197.296753171624,0.0135317847100112
127,2,-156.402378703517,-156.412411792863,0.0100330893459954
128,4,-163.462723596832,-163.469604310385,0.00688071355298803
129,9,-193.379835643657,-193.402039811006,0.0222041673490025
130,2,-145.289221725865,-145.297807497418,0.00858577155301532
131,8,-192.235173917147,-192.239906036493,0.00473211934601636
132,8,-129.555018780348,-129.561348527372,0.00632974702398315
133,2,-207.346034755234,-207.350484546616,0.00444979138200097
134,5,-185.835025477424,-185.849324605805,0.0142991283809977
135,6,-202.294176521049,-202.306381456217,0.0122049351680005
136,2,-214.010166189827,-214.026273505476,0.016107315649009
137,8,-184.880747128695,-184.885119911977,0.00437278328200819
138,1,-180.103482905514,-180.113947854982,0.0104649494680018
139,1,-194.43207283248,-194.440833624859,0.0087607923790074
