"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,1,1,-198.403511725574,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,1,2,-197.552095513944,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,1,3,-198.454634583014,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,1,4,-196.76115199179,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,1,5,-197.845718557318,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,1,-196.816791423677,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,2,-197.778735580374,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,3,-196.206993207811,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,4,-198.571905055305,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,5,-198.725100721924,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,3,1,-199.397522057606,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,3,2,-198.835167323901,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,3,3,-199.506698695993,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,3,4,-198.465815812708,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,3,5,-199.214322015312,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,4,1,-196.798431192488,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,4,2,-197.917060155659,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,4,3,-198.000283246297,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,4,4,-198.033168785553,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,4,5,-197.764281536285,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,5,1,-198.818573498738,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,5,2,-198.963530559143,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,5,3,-198.19647102206,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,5,4,-199.090975247334,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,5,5,-198.37177557547,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,6,1,-197.919476867509,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,6,2,-199.073320505072,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,6,3,-198.10777259634,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,6,4,-197.829791412019,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,6,5,-197.679203797034,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,1,-208.084690055328,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,2,-209.958334532125,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,3,-208.559913675553,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,4,-208.791513863033,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,5,-209.844106844927,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,1,-207.998278351306,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,2,-208.866820192192,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,3,-208.159102187192,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,4,-209.00442401431,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,5,-207.98856704656,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,1,-208.358899407066,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,2,-207.930604365753,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,3,-209.504827056434,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,4,-207.952291942649,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,5,-209.096989307117,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,1,-209.174296760294,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,2,-209.355095734464,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,3,-209.759811195577,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,4,-208.324746787794,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,5,-208.947166616525,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,1,-208.715313567134,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,2,-209.68036051154,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,3,-208.148158051014,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,4,-208.714078787235,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,5,-208.767618119175,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,1,-207.864115720337,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,2,-210.147437521287,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,3,-209.693457579725,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,4,-209.909092800966,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,5,-210.522807514238,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,1,-150.287449664605,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,2,-150.533357508004,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,3,-150.60304531479,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,4,-149.998720395611,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,5,-150.701984126242,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,1,-150.175832490602,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,2,-150.123983919118,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,3,-150.235835576582,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,4,-149.971771696527,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,5,-150.381361323555,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,1,-150.01607970615,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,2,-150.166511321344,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,3,-150.40211626925,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,4,-150.344564246652,"success"
