"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,1,NA,NA,1,NA,NA,4.05821903152954,-197.596385483047,0.392342238868844,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,NA,NA,2,NA,NA,4.04534940404491,-197.161134765175,0.522122104018249,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,3,NA,NA,3,NA,NA,3.87131092255401,-199.006661239169,0.215710617328216,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,4,NA,NA,4,NA,NA,4.05494858899336,-197.575423218182,0.336274830483218,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,5,NA,NA,5,NA,NA,3.99800352526395,-198.627499266338,0.181107960823584,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,6,NA,NA,6,NA,NA,4.08376702535274,-198.022790972676,0.175417594800576,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,NA,NA,1,NA,NA,4.45664239504371,-208.801858466169,0.339427377519518,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,NA,NA,2,NA,NA,4.58191516227993,-208.31397888228,0.190610290155397,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,NA,NA,3,NA,NA,4.61671851988961,-208.393013060042,0.261380955832174,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,NA,NA,4,NA,NA,4.42852076463907,-208.99447669137,0.278009780717521,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,NA,NA,5,NA,NA,4.4838319838236,-208.696592889711,0.222644249610444,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,NA,NA,6,NA,NA,4.29692590448771,-209.093825481343,0.856810138913627,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,NA,NA,1,NA,NA,3.0862131533806,-150.391316477481,0.140145020780465,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,NA,NA,2,NA,NA,2.9569292461004,-150.168744232539,0.0676028249484785,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,NA,NA,3,NA,NA,3.03294263829883,-150.089541758131,0.141630870978333,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,4,NA,NA,4,NA,NA,3.08639293452133,-150.318147813375,0.108273424710294,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,5,NA,NA,5,NA,NA,3.04250846784883,-150.350903687698,0.020952760477149,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,6,NA,NA,6,NA,NA,2.97180953851963,-150.178891558941,0.0642213549523783,5,"success",NA
