"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","week","B_estimate","B_true","filter_seed","estimate_semantics","conditioning"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.142857142857143,4.34918065262747,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.285714285714286,4.30604029769196,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.428571428571429,4.33584551071011,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.571428571428571,4.26794014035264,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.714285714285714,4.49173537384216,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.857142857142857,4.23197105682964,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,4.25723064249766,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.14285714285714,4.26662469795029,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.28571428571429,4.21114869885164,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.42857142857143,4.53614157343571,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.57142857142857,4.22987714973379,4,21260900,"particle_filtering_mean","Y_1:n"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.71428571428571,4.52622082700182,4,21260900,"particle_filtering_mean","Y_1:n"
