"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","best_run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","final_pf_logLik","fit_success","final_pf_success","status"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,4,0.1,NA,4.35032977730012,0.206674783764282,NA,-184.850408826423,0.0150248982268083,5,-184.847710562296,TRUE,TRUE,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,2,0.45,NA,4.63683356326287,0.239475200671257,NA,-195.971614451367,0.025380400603601,5,-196.022281134101,TRUE,TRUE,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,8,4,0.45,NA,3.64246743537327,0.403275875508823,NA,-142.272929373028,0.0131560626732263,5,-142.33186788335,TRUE,TRUE,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,6,6,0.3,NA,4.25955689675815,0.171750058924856,NA,-206.239869886419,0.0143118476980794,5,-206.260369791782,TRUE,TRUE,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,2,0.3,NA,3.74112113968594,0.319596348146813,NA,-189.251842616498,0.0130169297409075,5,-189.257708774,TRUE,TRUE,"success"
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,6,6,0.3,NA,3.39247949174374,0.246897742679671,NA,-190.02482222703,0.00941699329028188,5,-189.99460728858,TRUE,TRUE,"success"
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,5,4,0.3,NA,4.37809577792098,0.279688221426737,NA,-204.858831052355,0.0262249006302196,5,-204.885817596537,TRUE,TRUE,"success"
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,8,4,0.45,NA,4.51029847757535,0.26778730825184,NA,-217.314205681951,0.0266046622134026,5,-217.251228463163,TRUE,TRUE,"success"
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,4,2,0.3,NA,4.52548641074165,0.213338564764305,NA,-200.242905098428,0.0348351902495739,5,-200.220961041398,TRUE,TRUE,"success"
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,9,6,0.45,NA,3.42341124244568,0.224674892595167,NA,-188.376413822878,0.0248677206920442,5,-188.362445316644,TRUE,TRUE,"success"
