"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,1,-184.85202836476,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,2,-184.867380746899,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,3,-184.888620243819,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,4,-184.919656097167,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,5,-184.846180951022,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,1,-184.880670953734,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,2,-184.872061602189,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,3,-184.844074617186,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,4,-184.860331947179,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,5,-184.797106394127,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,1,-184.87756774805,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,2,-184.893449340148,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,3,-184.859044067911,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,4,-184.86861341367,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,5,-184.848932527322,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4,1,-184.88217712472,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4,2,-184.831578263506,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4,3,-184.86936721322,"success"
