"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,2,0.1,4.3481155327457,0.208087305789865,NA,-184.874415649717,0.0132752927491327,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,4,0.1,4.35032977730012,0.206674783764282,NA,-184.850408826423,0.0150248982268083,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,6,0.1,4.37043868857689,0.199233896751225,NA,-184.869404387586,0.00763689747751371,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4,2,0.3,4.39389654475222,0.201617197987759,NA,-184.869559817814,0.0105421712914779,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,5,4,0.3,4.36115586570427,0.206077501192672,NA,-184.866636800094,0.0135837942912432,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,6,6,0.3,4.3744270715123,0.21132689315793,NA,-184.865633975839,0.0240448234965348,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,7,2,0.45,4.41717665571961,0.208102457882038,NA,-184.873986845524,0.0117053733931748,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,8,4,0.45,4.40295704799482,0.2104673461119,NA,-184.882052376284,0.00644594075874807,5,"success",NA
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,9,6,0.45,4.39887587366499,0.220541529721449,NA,-184.882686288926,0.0179845968484256,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,1,2,0.1,4.58075259692533,0.23180970035416,NA,-195.996687172733,0.0170021809666029,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,2,4,0.1,4.55393601732253,0.224967917635059,NA,-196.002564666695,0.0170335107819811,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,3,6,0.1,4.65928983422897,0.242153375153343,NA,-195.991066805396,0.0153319202822494,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,4,2,0.3,4.73946402946437,0.239687149027546,NA,-195.992236197348,0.0100083075309812,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,5,4,0.3,4.64124075030775,0.26331030298471,NA,-196.000542159756,0.011174831613354,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,6,6,0.3,4.58642332617186,0.25522403418886,NA,-195.986065203928,0.00632530764636462,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,2,0.45,4.63683356326287,0.239475200671257,NA,-195.971614451367,0.025380400603601,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,8,4,0.45,4.69378585737362,0.258678856883986,NA,-195.980004035806,0.0146079481952223,5,"success",NA
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,9,6,0.45,4.66093464289023,0.249742953406136,NA,-195.975214821109,0.0220848147051412,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,1,2,0.1,3.65974531572778,0.420623375704462,NA,-142.287208346557,0.0258542504967108,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,2,4,0.1,3.4812726906734,0.372561858834387,NA,-142.352363411488,0.0363591144820402,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,3,6,0.1,3.43498007837314,0.373922548492974,NA,-142.342344357289,0.016803137319914,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,4,2,0.3,3.57150351294081,0.424464767883736,NA,-142.315749978587,0.0383692274462442,5,"success",NA
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,5,4,0.3,3.32494532222016,0.360453998419548,NA,-142.454046981606,0.0236595523376265,5,"success",NA
