"task_id","model","best_run","best_logLik","second_best_logLik","logLik_gap","n_successful_starts"
1,"gamma_noise",2,-184.850408826423,-184.865633975839,0.0152251494159827,9
2,"gamma_noise",7,-195.971614451367,-195.975214821109,0.00360036974200284,9
3,"gamma_noise",8,-142.272929373028,-142.287208346557,0.0142789735290023,9
4,"gamma_noise",6,-206.239869886419,-206.246671544291,0.00680165787198916,9
5,"gamma_noise",4,-189.251842616498,-189.25876973511,0.00692711861199768,9
6,"gamma_noise",6,-190.02482222703,-190.026948771068,0.00212654403799206,9
7,"gamma_noise",5,-204.858831052355,-204.863131824293,0.00430077193800571,9
8,"gamma_noise",8,-217.314205681951,-217.315097588612,0.000891906660996256,9
9,"gamma_noise",4,-200.242905098428,-200.247325914889,0.00442081646099268,9
10,"gamma_noise",9,-188.376413822878,-188.389180124217,0.0127663013390134,9
11,"gamma_noise",3,-220.047366722123,-220.048641817831,0.00127509570799589,9
12,"gamma_noise",8,-192.812784269569,-192.829326483123,0.0165422135540041,9
13,"gamma_noise",1,-197.946453812945,-197.947042917992,0.000589105046998384,9
14,"gamma_noise",2,-216.033772866638,-216.048893093567,0.0151202269289854,9
15,"gamma_noise",9,-210.256839044469,-210.289279511993,0.0324404675239975,9
16,"gamma_noise",1,-197.07156278386,-197.076587410198,0.00502462633798473,9
17,"gamma_noise",2,-165.554055397651,-165.61484424912,0.0607888514689989,9
18,"gamma_noise",6,-174.008088282139,-174.027286503957,0.0191982218179874,9
19,"gamma_noise",5,-191.611025372239,-191.615556369034,0.00453099679501179,9
20,"gamma_noise",7,-206.534665047698,-206.55066500793,0.0159999602319942,9
21,"gamma_noise",5,-188.597676300924,-188.599474375254,0.00179807432999723,9
22,"gamma_noise",5,-185.268162670858,-185.271567246731,0.0034045758729917,9
23,"gamma_noise",6,-192.09612540642,-192.10041950874,0.00429410232001715,9
24,"gamma_noise",8,-192.427775375609,-192.435413561533,0.00763818592400867,9
25,"gamma_noise",6,-189.237378241064,-189.288741170405,0.0513629293409963,9
26,"gamma_noise",7,-195.213123760064,-195.219236281674,0.00611252160999243,9
27,"gamma_noise",2,-195.42408107666,-195.435940098563,0.0118590219030068,9
28,"gamma_noise",5,-200.721368011115,-200.731094638442,0.00972662732698382,9
29,"gamma_noise",7,-176.992125283521,-177.007363447547,0.0152381640259875,9
30,"gamma_noise",3,-213.21592800361,-213.217157274623,0.00122927101298842,9
31,"gamma_noise",6,-167.890744941691,-167.892313127988,0.00156818629699274,9
32,"gamma_noise",4,-207.025634644555,-207.050534247218,0.0248996026629982,9
33,"gamma_noise",3,-209.769105417738,-209.776747902275,0.00764248453700134,9
34,"gamma_noise",4,-188.802429051806,-188.826847013353,0.0244179615469875,9
35,"gamma_noise",1,-191.413970568065,-191.416688475666,0.00271790760100998,9
36,"gamma_noise",4,-190.486469017118,-190.493599238731,0.00713022161301069,9
37,"gamma_noise",7,-188.157264951311,-188.16200892787,0.00474397655901271,9
38,"gamma_noise",8,-163.17053293922,-163.177668075794,0.0071351365739929,9
39,"gamma_noise",7,-207.367700702366,-207.38604112619,0.0183404238240144,9
40,"gamma_noise",4,-191.253258335685,-191.27400484537,0.0207465096850115,9
41,"gamma_noise",1,-189.707960442827,-189.709292399295,0.00133195646802164,9
42,"gamma_noise",7,-210.622807908949,-210.62636226642,0.00355435747098909,9
43,"gamma_noise",3,-198.103510982361,-198.107136253852,0.00362527149098923,9
44,"gamma_noise",6,-201.605248624786,-201.613017301197,0.0077686764110183,9
45,"gamma_noise",7,-195.042320948486,-195.046073823219,0.00375287473298158,9
46,"gamma_noise",8,-199.894885222596,-199.896471410908,0.00158618831198964,9
47,"gamma_noise",5,-192.265855031812,-192.266919439199,0.00106440738699121,9
48,"gamma_noise",4,-183.84999599472,-183.873719455242,0.0237234605220067,9
49,"gamma_noise",8,-165.070429020469,-165.073809332638,0.00338031216901413,9
50,"gamma_noise",7,-199.767975798722,-199.77333229181,0.00535649308798725,9
51,"gamma_noise",7,-206.087383567639,-206.115065320219,0.0276817525800084,9
52,"gamma_noise",6,-202.387352187071,-202.412864182947,0.0255119958760019,9
53,"gamma_noise",7,-193.831200645727,-193.845693496409,0.0144928506820179,9
54,"gamma_noise",3,-197.449330268365,-197.531176894735,0.0818466263700088,9
55,"gamma_noise",4,-175.15753001983,-175.182165698566,0.02463567873599,9
56,"gamma_noise",7,-188.403098343772,-188.411465584204,0.0083672404319941,9
57,"gamma_noise",9,-128.894285115155,-128.906854276989,0.0125691618340227,9
58,"gamma_noise",4,-188.023219726763,-188.03952660915,0.0163068823869992,9
59,"gamma_noise",5,-197.886574273641,-197.893763360945,0.00718908730399903,9
60,"gamma_noise",3,-206.978752289343,-206.987111878621,0.00835958927800107,9
61,"gamma_noise",5,-207.403423784704,-207.421289002225,0.0178652175210061,9
62,"gamma_noise",5,-192.906157004164,-192.91726598433,0.011108980166,9
63,"gamma_noise",6,-189.666789479561,-189.678066351916,0.0112768723549834,9
64,"gamma_noise",9,-189.100390315282,-189.127395532414,0.0270052171320003,9
65,"gamma_noise",9,-200.134647554634,-200.147103318373,0.0124557637390126,9
66,"gamma_noise",1,-208.935484438497,-208.955201611308,0.0197171728109993,9
67,"gamma_noise",9,-187.859213606211,-187.859505833606,0.000292227394993461,9
68,"gamma_noise",6,-192.511066133444,-192.518941583448,0.00787545000400769,9
69,"gamma_noise",2,-177.940293367022,-177.97789222939,0.0375988623679859,9
70,"gamma_noise",9,-183.299971721779,-183.302878962607,0.00290724082799443,9
