"task_id","model_gamma","RSS_gamma","RMSE_gamma","mean_error_gamma","AOB_gamma","mean_error_through_5_gamma","mean_error_after_5_gamma","model_constant","RSS_constant","RMSE_constant","mean_error_constant","AOB_constant","mean_error_through_5_constant","mean_error_after_5_constant","logLik_gamma","logLik_se_gamma","B0_hat_gamma","sigma_beta_hat_gamma","status_gamma","logLik_constant","logLik_se_constant","Beta_hat_constant","status_constant","delta_RSS_gamma_minus_constant","delta_RMSE_gamma_minus_constant","delta_AOB_gamma_minus_constant","delta_logLik_gamma_minus_constant","gamma_lower_RSS","gamma_lower_RMSE","gamma_lower_AOB"
1,"gamma_noise",13.9519470935589,0.446445438892575,0.273543835850054,0.273543835850054,0.198662331705919,0.34842533999419,"constant_B",146.492876357593,1.44663588250017,1.04534940404491,1.04534940404491,0.0453494040449103,2.04534940404491,-184.850408826423,0.0150248982268083,4.35032977730012,0.206674783764282,"success",-197.161134765175,0.522122104018249,4.04534940404491,"success",-132.540929264035,-1.0001904436076,-0.771805568194856,12.310725938752,TRUE,TRUE,TRUE
2,"gamma_noise",17.760754525024,0.503711290962591,0.316868238807433,0.316868238807433,0.328943002583787,0.304793475031078,"constant_B",245.17189064558,1.8714848598509,1.58191516227993,1.58191516227993,0.58191516227993,2.58191516227993,-195.971614451367,0.025380400603601,4.63683356326287,0.239475200671257,"success",-208.31397888228,0.190610290155397,4.58191516227993,"success",-227.411136120556,-1.36777356888831,-1.2650469234725,12.342364430913,TRUE,TRUE,TRUE
3,"gamma_noise",44.3758421396823,0.796203869618493,-0.578655360756867,0.578655360756867,-0.622995616973642,-0.534315104540092,"constant_B",70.0759652192662,1.00054246157676,0.0329426382988304,0.0329426382988304,-0.96705736170117,1.03294263829883,-142.272929373028,0.0131560626732263,3.64246743537327,0.403275875508823,"success",-150.089541758131,0.141630870978333,3.03294263829883,"success",-25.7001230795839,-0.20433859195827,0.545712722458036,7.81661238510299,TRUE,TRUE,FALSE
4,"gamma_noise",17.2261548716354,0.496072501493128,0.280258293078012,0.280258293078012,0.0345616225435907,0.525954963612433,"constant_B",103.5823208655,1.21644870049489,0.6926380302407,0.6926380302407,-0.3073619697593,1.6926380302407,-206.239869886419,0.0143118476980794,4.25955689675815,0.171750058924856,"success",-216.844200299591,0.374164605315165,3.6926380302407,"success",-86.3561659938646,-0.720376199001766,-0.412379737162688,10.604330413172,TRUE,TRUE,TRUE
5,"gamma_noise",18.5333928327419,0.514551022497726,-0.0656804701051087,0.0656804701051087,-0.0498666620855599,-0.0814942781246574,"constant_B",98.4991333146016,1.18622530571679,0.63806776750035,0.63806776750035,-0.36193223249965,1.63806776750035,-189.251842616498,0.0130169297409075,3.74112113968594,0.319596348146813,"success",-212.012182512176,1.14084468211091,3.63806776750035,"success",-79.9657404818597,-0.671674283219059,-0.572387297395241,22.760339895678,TRUE,TRUE,TRUE
6,"gamma_noise",18.9110775243755,0.519767496432994,-0.0518231428437162,0.0518231428437162,-0.400809106397149,0.297162820709717,"constant_B",73.4945841847674,1.02465732379707,0.2234337289018,0.2234337289018,-0.7765662710982,1.2234337289018,-190.02482222703,0.00941699329028188,3.39247949174374,0.246897742679671,"success",-204.054534306924,0.141111903948225,3.2234337289018,"success",-54.5835066603918,-0.504889827364071,-0.171610586058083,14.029712079894,TRUE,TRUE,TRUE
7,"gamma_noise",21.9030643413312,0.559375472434996,0.430343841430011,0.430343841430011,0.34040035471572,0.520287328144302,"constant_B",239.292271763809,1.84890806293803,1.55514019470827,1.55514019470827,0.55514019470827,2.55514019470827,-204.858831052355,0.0262249006302196,4.37809577792098,0.279688221426737,"success",-218.149013373217,0.33944113607883,4.55514019470827,"success",-217.389207422478,-1.28953259050304,-1.12479635327826,13.290182320862,TRUE,TRUE,TRUE
8,"gamma_noise",14.9334864808938,0.461882583732733,0.157846063775461,0.157846063775461,0.0334171585179875,0.282274969032934,"constant_B",111.460962863013,1.26186349082284,0.76960994631801,0.76960994631801,-0.23039005368199,1.76960994631801,-217.314205681951,0.0266046622134026,4.51029847757535,0.26778730825184,"success",-240.123608129499,1.89761005739141,3.76960994631801,"success",-96.5274763821189,-0.79998090709011,-0.61176388254255,22.809402447548,TRUE,TRUE,TRUE
9,"gamma_noise",13.870928145382,0.445147297377621,0.251902317347823,0.251902317347823,0.12958219999328,0.374222434702366,"constant_B",123.84365648151,1.33011093243872,0.87703768025838,0.87703768025838,-0.12296231974162,1.87703768025838,-200.242905098428,0.0348351902495739,4.52548641074165,0.213338564764305,"success",-214.559151972996,1.43488767273107,3.87703768025838,"success",-109.972728336128,-0.884963635061098,-0.625135362910557,14.316246874568,TRUE,TRUE,TRUE
10,"gamma_noise",22.9231133888194,0.572252608916469,-0.0853432709513923,0.0853432709513923,-0.489415764002221,0.318729222099437,"constant_B",71.1885190596346,1.00845368942211,0.1303028921746,0.1303028921746,-0.8696971078254,1.1303028921746,-188.376413822878,0.0248677206920442,3.42341124244568,0.224674892595167,"success",-197.324148251434,0.0308398592996419,3.1303028921746,"success",-48.2654056708152,-0.436201080505641,-0.0449596212232078,8.947734428556,TRUE,TRUE,TRUE
