"experiment","task_id","task_label","illustration_role","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","truth",4,TRUE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","truth",4,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",10,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","gamma",4.35032977730012,TRUE,"fitted_initial_value","Y_1:70_for_parameters_only","fitted_B0","Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",0.142857142857143,"B","gamma",4.34918065262747,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",0.285714285714286,"B","gamma",4.30604029769196,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",0.428571428571429,"B","gamma",4.33584551071011,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",0.571428571428571,"B","gamma",4.26794014035264,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",0.714285714285714,"B","gamma",4.49173537384216,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",0.857142857142857,"B","gamma",4.23197105682964,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1,"B","gamma",4.25723064249766,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1.14285714285714,"B","gamma",4.26662469795029,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1.28571428571429,"B","gamma",4.21114869885164,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1.42857142857143,"B","gamma",4.53614157343571,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1.57142857142857,"B","gamma",4.22987714973379,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1.71428571428571,"B","gamma",4.52622082700182,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",1.85714285714286,"B","gamma",4.92656016954702,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2,"B","gamma",4.73794084591575,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2.14285714285714,"B","gamma",4.63865938007474,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2.28571428571429,"B","gamma",4.28546849163939,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2.42857142857143,"B","gamma",4.00763049895396,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2.57142857142857,"B","gamma",3.58074120457045,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2.71428571428571,"B","gamma",3.6944570852682,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",2.85714285714286,"B","gamma",3.85284398521741,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3,"B","gamma",3.91308591548269,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3.14285714285714,"B","gamma",4.14875097674284,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3.28571428571429,"B","gamma",4.12667497632939,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3.42857142857143,"B","gamma",4.3017925770521,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3.57142857142857,"B","gamma",4.42964948818836,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3.71428571428571,"B","gamma",4.38874381644489,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",3.85714285714286,"B","gamma",4.09658555622242,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4,"B","gamma",3.86206054480823,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4.14285714285714,"B","gamma",4.11650440595431,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4.28571428571429,"B","gamma",4.04530272486247,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4.42857142857143,"B","gamma",3.90904202540506,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4.57142857142857,"B","gamma",3.92077043463269,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4.71428571428571,"B","gamma",4.28317254807028,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",4.85714285714286,"B","gamma",3.89452298602157,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","gamma",3.78226435077804,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5.14285714285714,"B","gamma",3.65857100653313,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5.28571428571429,"B","gamma",3.45986954402259,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5.42857142857143,"B","gamma",3.09902847374519,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5.57142857142857,"B","gamma",2.9397766546533,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5.71428571428571,"B","gamma",2.69006125227939,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",5.85714285714286,"B","gamma",2.51100795616588,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",6,"B","gamma",2.50523366462709,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",6.14285714285714,"B","gamma",2.5589349438019,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",6.28571428571429,"B","gamma",2.44495126428295,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
4,1,"Task 1","previously_designated_primary_illustration",6.42857142857143,"B","gamma",2.40126795868938,FALSE,"particle_filtering_mean","Y_1:n",NA,"Gamma-noise filtering mean"
