"experiment","task_id","task_label","illustration_role","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","truth",4,TRUE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","truth",4,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",10,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","gamma",4.35032977730012,TRUE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",0.142857142857143,"B","gamma",4.89442430059109,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",0.285714285714286,"B","gamma",4.88368681304503,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",0.428571428571429,"B","gamma",5.12283481526627,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",0.571428571428571,"B","gamma",5.48146654878628,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",0.714285714285714,"B","gamma",5.47879496761264,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",0.857142857142857,"B","gamma",5.78915636137759,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1,"B","gamma",6.70349769887189,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1.14285714285714,"B","gamma",6.36496127647265,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1.28571428571429,"B","gamma",6.31086296169376,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1.42857142857143,"B","gamma",6.0439343341955,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1.57142857142857,"B","gamma",5.79571321469943,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1.71428571428571,"B","gamma",5.55134533967625,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",1.85714285714286,"B","gamma",5.39914000940637,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2,"B","gamma",4.89139238110563,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2.14285714285714,"B","gamma",4.75348144481194,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2.28571428571429,"B","gamma",4.68474440675628,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2.42857142857143,"B","gamma",5.18947392712301,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2.57142857142857,"B","gamma",4.3966617492265,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2.71428571428571,"B","gamma",4.32783961037358,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",2.85714285714286,"B","gamma",4.90334392408032,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3,"B","gamma",4.51292869278689,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3.14285714285714,"B","gamma",4.01563710669155,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3.28571428571429,"B","gamma",3.88422794689518,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3.42857142857143,"B","gamma",3.89506979322741,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3.57142857142857,"B","gamma",4.15569505970054,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3.71428571428571,"B","gamma",3.66271980900616,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",3.85714285714286,"B","gamma",3.36466652999923,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4,"B","gamma",3.78583785150711,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4.14285714285714,"B","gamma",4.34437684240931,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4.28571428571429,"B","gamma",3.71402013577492,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4.42857142857143,"B","gamma",4.00734948515376,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4.57142857142857,"B","gamma",4.08601317319963,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4.71428571428571,"B","gamma",4.10153116954399,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",4.85714285714286,"B","gamma",4.60220404032048,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","gamma",4.32758563904745,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",5.14285714285714,"B","gamma",4.31848292803223,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
4,1,"Task 1","previously_designated_primary_illustration",5.28571428571429,"B","gamma",4.32068781773175,FALSE,"forward_simulation_at_fitted_parameters","none_after_parameters_are_fixed","fitted_B0","Gamma-noise forward simulation"
