"experiment","task_id","task_label","illustration_role","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","truth",4,TRUE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","truth",4,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",10,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","gamma",4.35032977730012,TRUE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.142857142857143,"B","gamma",4.12059278824259,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.285714285714286,"B","gamma",4.36420682582962,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.428571428571429,"B","gamma",4.52075504637057,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.571428571428571,"B","gamma",4.38164690163589,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.714285714285714,"B","gamma",4.3804710594604,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.857142857142857,"B","gamma",4.27357252831573,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1,"B","gamma",4.33467638385401,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.14285714285714,"B","gamma",4.34958845874136,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.28571428571429,"B","gamma",4.07377817567295,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.42857142857143,"B","gamma",4.38715660608602,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.57142857142857,"B","gamma",4.2695020817853,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.71428571428571,"B","gamma",4.29112124260947,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.85714285714286,"B","gamma",4.23292578783517,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2,"B","gamma",4.37757041615122,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.14285714285714,"B","gamma",4.20758143431255,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.28571428571429,"B","gamma",4.26308563351263,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.42857142857143,"B","gamma",4.12633809232071,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.57142857142857,"B","gamma",4.23939053893271,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.71428571428571,"B","gamma",4.29869853922178,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.85714285714286,"B","gamma",4.22293578572867,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3,"B","gamma",4.42321593757774,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.14285714285714,"B","gamma",3.91167553677456,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.28571428571429,"B","gamma",3.77316485909006,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.42857142857143,"B","gamma",3.85669345616912,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.57142857142857,"B","gamma",3.78580804856538,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.71428571428571,"B","gamma",3.63631466718103,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.85714285714286,"B","gamma",3.9296959751052,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4,"B","gamma",3.9565145388599,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.14285714285714,"B","gamma",4.04403367709342,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.28571428571429,"B","gamma",4.25317644669815,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.42857142857143,"B","gamma",3.74561073123909,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.57142857142857,"B","gamma",3.6924094399243,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.71428571428571,"B","gamma",3.25464905719576,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.85714285714286,"B","gamma",3.11719250930496,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","gamma",2.82149459456922,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.14285714285714,"B","gamma",2.64138671589179,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.28571428571429,"B","gamma",2.3418136535231,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.42857142857143,"B","gamma",2.26811798689447,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
