"experiment","task_id","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,0,"B","truth",4,TRUE,"data_generating_path","none",NA,"Truth"
4,1,5,"B","truth",4,FALSE,"data_generating_path","none",NA,"Truth"
4,1,5,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,10,"B","truth",2,FALSE,"data_generating_path","none",NA,"Truth"
4,1,0,"B","gamma",4.35032977730012,TRUE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0.142857142857143,"B","gamma",4.89442430059109,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0.285714285714286,"B","gamma",4.88368681304503,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0.428571428571429,"B","gamma",5.12283481526627,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0.571428571428571,"B","gamma",5.48146654878628,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0.714285714285714,"B","gamma",5.47879496761264,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0.857142857142857,"B","gamma",5.78915636137759,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1,"B","gamma",6.70349769887189,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1.14285714285714,"B","gamma",6.36496127647265,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1.28571428571429,"B","gamma",6.31086296169376,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1.42857142857143,"B","gamma",6.0439343341955,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1.57142857142857,"B","gamma",5.79571321469943,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1.71428571428571,"B","gamma",5.55134533967625,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,1.85714285714286,"B","gamma",5.39914000940637,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,2,"B","gamma",4.89139238110563,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,2.14285714285714,"B","gamma",4.75348144481194,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,2.28571428571429,"B","gamma",4.68474440675628,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
