"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9981,11,8,9,7
0.285714285714286,"1",9973,16,11,8,6
0.428571428571429,"1",9962,18,20,11,3
0.571428571428571,"1",9953,19,28,9,1
0.714285714285714,"1",9942,22,36,11,4
0.857142857142857,"1",9928,24,48,14,10
1,"1",9922,19,59,6,2
1.14285714285714,"1",9912,20,68,10,7
1.28571428571429,"1",9903,20,77,9,4
1.42857142857143,"1",9887,24,89,16,7
1.57142857142857,"1",9871,29,100,16,2
1.71428571428571,"1",9857,29,114,14,5
1.85714285714286,"1",9840,32,128,17,10
2,"1",9829,30,141,11,5
2.14285714285714,"1",9814,35,151,15,5
2.28571428571429,"1",9790,46,164,24,13
2.42857142857143,"1",9767,45,188,23,13
2.57142857142857,"1",9735,60,205,32,15
2.71428571428571,"1",9695,74,231,40,22
2.85714285714286,"1",9639,93,268,56,18
3,"1",9587,104,309,52,24
3.14285714285714,"1",9528,114,358,59,21
3.28571428571429,"1",9458,146,396,70,36
3.42857142857143,"1",9381,159,460,77,59
3.57142857142857,"1",9287,186,527,94,21
3.71428571428571,"1",9173,230,597,114,49
3.85714285714286,"1",9035,266,699,138,76
4,"1",8907,283,810,128,73
4.14285714285714,"1",8754,308,938,153,87
4.28571428571429,"1",8605,340,1055,149,56
4.42857142857143,"1",8445,354,1201,160,86
4.57142857142857,"1",8285,383,1332,160,107
4.71428571428571,"1",8113,387,1500,172,85
4.85714285714286,"1",7976,344,1680,137,12
5,"1",7800,386,1814,176,74
5.14285714285714,"1",7703,331,1966,97,42
5.28571428571429,"1",7647,263,2090,56,49
5.42857142857143,"1",7588,220,2192,59,37
5.57142857142857,"1",7550,182,2268,38,12
5.71428571428571,"1",7514,140,2346,36,23
5.85714285714286,"1",7481,125,2394,33,31
6,"1",7458,106,2436,23,14
6.14285714285714,"1",7437,85,2478,21,5
6.28571428571429,"1",7426,63,2511,11,2
6.42857142857143,"1",7414,56,2530,12,5
6.57142857142857,"1",7406,44,2550,8,3
6.71428571428571,"1",7402,32,2566,4,0
6.85714285714286,"1",7394,30,2576,8,10
7,"1",7390,23,2587,4,0
7.14285714285714,"1",7387,12,2601,3,0
7.28571428571429,"1",7387,10,2603,0,0
7.42857142857143,"1",7385,9,2606,2,1
7.57142857142857,"1",7383,10,2607,2,0
7.71428571428571,"1",7383,5,2612,0,0
7.85714285714286,"1",7383,2,2615,0,0
8,"1",7382,3,2615,1,0
8.14285714285714,"1",7381,3,2616,1,1
8.28571428571428,"1",7381,2,2617,0,0
8.42857142857143,"1",7380,3,2617,1,0
8.57142857142857,"1",7380,2,2618,0,0
8.71428571428571,"1",7378,4,2618,2,2
8.85714285714286,"1",7378,4,2618,0,0
9,"1",7378,0,2622,0,0
9.14285714285714,"1",7378,0,2622,0,0
9.28571428571428,"1",7378,0,2622,0,0
9.42857142857143,"1",7378,0,2622,0,0
9.57142857142857,"1",7378,0,2622,0,0
9.71428571428571,"1",7378,0,2622,0,0
9.85714285714286,"1",7378,0,2622,0,0
10,"1",7378,0,2622,0,0
