"task_id","simulation_seed","observed_data_md5","model","display_model","RMSE"
1,1001,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise","Gamma-noise",0.446445438892575
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise","Gamma-noise",0.503711290962591
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise","Gamma-noise",0.796203869618493
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise","Gamma-noise",0.496072501493128
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise","Gamma-noise",0.514551022497726
6,1006,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise","Gamma-noise",0.519767496432994
7,1007,"c23f10d0daa427c993e4ece1079ed751","gamma_noise","Gamma-noise",0.559375472434996
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise","Gamma-noise",0.461882583732733
9,1009,"51101219b554b4802624e043f09d6160","gamma_noise","Gamma-noise",0.445147297377621
10,1010,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise","Gamma-noise",0.572252608916469
11,1011,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise","Gamma-noise",0.531107682729061
12,1012,"05f564b562cd69afde749fbba393d734","gamma_noise","Gamma-noise",0.713599287832235
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise","Gamma-noise",0.559603876465535
14,1014,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise","Gamma-noise",0.512179323067783
15,1015,"ae056eafb87645cec401ccb46346269b","gamma_noise","Gamma-noise",0.450145708580383
16,1016,"a714e996eac59ec21285ac81b9fb5223","gamma_noise","Gamma-noise",0.467000738955445
17,1017,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise","Gamma-noise",0.575456359184263
18,1018,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise","Gamma-noise",0.508591214698462
19,1019,"13d489a8a65aa7a169791da7e2e871a6","gamma_noise","Gamma-noise",0.578880075330336
20,1020,"714f6bb12c5d63009433470452ca002b","gamma_noise","Gamma-noise",0.438362316242723
21,1021,"c46a7b2a22c4a8bed8a3c2537dbc0243","gamma_noise","Gamma-noise",0.450169216292898
22,1022,"37fb1b826b530c406841fb3dc0dd2a19","gamma_noise","Gamma-noise",0.345185481779092
23,1023,"5391b651cef3ef3752fc04bfb4f6d8ab","gamma_noise","Gamma-noise",0.526512309443645
24,1024,"f17101a77a91a5858651ca092461a15e","gamma_noise","Gamma-noise",0.400173492260042
25,1025,"5bffd9597ff51651a7b3c018b0060e43","gamma_noise","Gamma-noise",0.472594656520946
26,1026,"7d638818fac5c183766d7bd337251990","gamma_noise","Gamma-noise",0.368116812292973
27,1027,"febf6d542123ef85142ab3d7c88fd4f9","gamma_noise","Gamma-noise",0.372908239264794
28,1028,"fa30cb31cb12a8463966a31a9ac1f66d","gamma_noise","Gamma-noise",0.542247112266858
29,1029,"f88e4728f80479179227d46e3ae73be8","gamma_noise","Gamma-noise",0.689606278498476
30,1030,"6d8fcd9da06daac4afecfcdf2af73043","gamma_noise","Gamma-noise",0.548576377123615
31,1031,"1f4f623a1599fc68865ccca5c8e38092","gamma_noise","Gamma-noise",0.92799231537013
32,1032,"8b18f38744449f8e8c5016a5c62a9db0","gamma_noise","Gamma-noise",0.456239997921697
33,1033,"1c656b251cec47b7f90e7590d6f84c85","gamma_noise","Gamma-noise",0.532609763804385
34,1034,"6295649cce30d443915163e1f486574c","gamma_noise","Gamma-noise",0.337594347546079
35,1035,"05c8b3ee0cc2e85807ddffab0af38be8","gamma_noise","Gamma-noise",0.530794423084917
36,1036,"12e163742e3ae8e7eef3194a703ebcdb","gamma_noise","Gamma-noise",0.457534498414689
37,1037,"129fa3be8b0ee7a384bf1d0e5525258e","gamma_noise","Gamma-noise",0.77198847617052
38,1038,"2cb84ae4bd553be0419d1e71639da95a","gamma_noise","Gamma-noise",0.773180864393045
39,1039,"42f80019227937c2a1292d80471ad885","gamma_noise","Gamma-noise",0.507935276561891
40,1040,"ab1d08dee64fd498a66e009327aa8634","gamma_noise","Gamma-noise",0.380295892849335
41,1041,"287dedf1d0604d7339bf2699355ae974","gamma_noise","Gamma-noise",0.726276925450352
42,1042,"a0f4bf165f246f2d852e7cb15677c6d0","gamma_noise","Gamma-noise",0.510653016716722
43,1043,"98bd9bf2f837f4d00af88dbb60b77b5c","gamma_noise","Gamma-noise",0.518002605843501
44,1044,"7fc16f6007b4caa0fad7b388de798f61","gamma_noise","Gamma-noise",0.392295354996593
45,1045,"ea38700766ed00739f841a67050a1f0f","gamma_noise","Gamma-noise",0.450760214299376
46,1046,"9df354b439dcb34c0723dc7a22427817","gamma_noise","Gamma-noise",0.535747139219747
47,1047,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","gamma_noise","Gamma-noise",0.459466055825722
48,1048,"e149dfe63fefba3d9450d8ebe55e2be8","gamma_noise","Gamma-noise",0.396536693273822
49,1049,"c24fd9ec2467b6f39b42b31426dcbff7","gamma_noise","Gamma-noise",0.61935917386779
50,1050,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","gamma_noise","Gamma-noise",0.551514077232048
51,1051,"900920f25b406cb0530e847b193e6c9b","gamma_noise","Gamma-noise",0.408447571620159
52,1052,"94c869cc26cd44cd9de1033132a41b1b","gamma_noise","Gamma-noise",0.668504255737662
53,1053,"21c503be1bfd17d135902892b999365f","gamma_noise","Gamma-noise",0.549722086181775
54,1054,"bb6ab35a8708f3f23940941298b79dbc","gamma_noise","Gamma-noise",0.505762481352082
