"task_id","simulation_seed","observed_data_md5","comparison","model_a","model_b","RMSE_model_a","RMSE_model_b","paired_RMSE_difference_model_a_minus_model_b","winner_lower_RMSE"
1,1001,"64a1b5c02bdecc100b37ee56029391d3","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.446445438892575,1.44663588250017,-1.0001904436076,"gamma_noise"
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.503711290962591,1.8714848598509,-1.36777356888831,"gamma_noise"
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.796203869618493,1.00054246157676,-0.20433859195827,"gamma_noise"
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.496072501493128,1.21644870049489,-0.720376199001766,"gamma_noise"
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.514551022497726,1.18622530571679,-0.671674283219059,"gamma_noise"
6,1006,"83a6fae95545d773b4ac09416fd8a73d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.519767496432994,1.02465732379707,-0.504889827364071,"gamma_noise"
7,1007,"c23f10d0daa427c993e4ece1079ed751","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.559375472434996,1.84890806293803,-1.28953259050304,"gamma_noise"
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.461882583732733,1.26186349082284,-0.79998090709011,"gamma_noise"
9,1009,"51101219b554b4802624e043f09d6160","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.445147297377621,1.33011093243872,-0.884963635061098,"gamma_noise"
10,1010,"3658851b68a2ae24c2e8e9838200e49c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.572252608916469,1.00845368942211,-0.436201080505641,"gamma_noise"
11,1011,"b0091463d341b4712ff6e9dd82a58abf","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.531107682729061,1.34625520149765,-0.815147518768589,"gamma_noise"
12,1012,"05f564b562cd69afde749fbba393d734","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.713599287832235,1.09673809336012,-0.383138805527883,"gamma_noise"
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.559603876465535,1.50278340614611,-0.943179529680579,"gamma_noise"
14,1014,"3ee86b29e7e61ffc7287cc8f5b47aeca","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.512179323067783,1.16336037754455,-0.651181054476769,"gamma_noise"
15,1015,"ae056eafb87645cec401ccb46346269b","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.450145708580383,1.30024871152755,-0.850103002947166,"gamma_noise"
16,1016,"a714e996eac59ec21285ac81b9fb5223","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.467000738955445,1.13550376711321,-0.668503028157761,"gamma_noise"
17,1017,"c1dff99001cdd2a71a8c5de229779c6a","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.575456359184263,1.01121207652065,-0.435755717336388,"gamma_noise"
18,1018,"b6d242ccc65d51d758e56f6a2b2246d6","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.508591214698462,1.01709267427864,-0.508501459580178,"gamma_noise"
19,1019,"13d489a8a65aa7a169791da7e2e871a6","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.578880075330336,1.41476238425398,-0.83588230892364,"gamma_noise"
20,1020,"714f6bb12c5d63009433470452ca002b","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.438362316242723,1.13612415020267,-0.697761833959945,"gamma_noise"
21,1021,"c46a7b2a22c4a8bed8a3c2537dbc0243","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.450169216292898,1.11940519892303,-0.669235982630134,"gamma_noise"
22,1022,"37fb1b826b530c406841fb3dc0dd2a19","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.345185481779092,1.18888394348726,-0.843698461708172,"gamma_noise"
23,1023,"5391b651cef3ef3752fc04bfb4f6d8ab","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.526512309443645,1.30684440381256,-0.780332094368913,"gamma_noise"
24,1024,"f17101a77a91a5858651ca092461a15e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.400173492260042,1.06234451497505,-0.662171022715011,"gamma_noise"
25,1025,"5bffd9597ff51651a7b3c018b0060e43","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.472594656520946,1.18177671701797,-0.709182060497026,"gamma_noise"
26,1026,"7d638818fac5c183766d7bd337251990","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.368116812292973,1.24821515219457,-0.880098339901595,"gamma_noise"
27,1027,"febf6d542123ef85142ab3d7c88fd4f9","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.372908239264794,1.10921632811168,-0.736308088846885,"gamma_noise"
28,1028,"fa30cb31cb12a8463966a31a9ac1f66d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.542247112266858,1.34007111537273,-0.797824003105874,"gamma_noise"
29,1029,"f88e4728f80479179227d46e3ae73be8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.689606278498476,1.02382576856791,-0.334219490069431,"gamma_noise"
30,1030,"6d8fcd9da06daac4afecfcdf2af73043","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.548576377123615,1.18077773953952,-0.632201362415904,"gamma_noise"
31,1031,"1f4f623a1599fc68865ccca5c8e38092","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.92799231537013,1.10842353260886,-0.180431217238729,"gamma_noise"
32,1032,"8b18f38744449f8e8c5016a5c62a9db0","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.456239997921697,1.21803964835606,-0.761799650434366,"gamma_noise"
33,1033,"1c656b251cec47b7f90e7590d6f84c85","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.532609763804385,1.46382583081183,-0.931216067007447,"gamma_noise"
34,1034,"6295649cce30d443915163e1f486574c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.337594347546079,1.313190239897,-0.975595892350917,"gamma_noise"
35,1035,"05c8b3ee0cc2e85807ddffab0af38be8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.530794423084917,1.08306929479462,-0.552274871709701,"gamma_noise"
36,1036,"12e163742e3ae8e7eef3194a703ebcdb","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.457534498414689,1.02020003522982,-0.562665536815128,"gamma_noise"
37,1037,"129fa3be8b0ee7a384bf1d0e5525258e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.77198847617052,1.10957221336624,-0.33758373719572,"gamma_noise"
38,1038,"2cb84ae4bd553be0419d1e71639da95a","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.773180864393045,1.00643440106522,-0.233253536672174,"gamma_noise"
39,1039,"42f80019227937c2a1292d80471ad885","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.507935276561891,1.13862039526936,-0.630685118707472,"gamma_noise"
40,1040,"ab1d08dee64fd498a66e009327aa8634","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.380295892849335,1.11318778541868,-0.732891892569345,"gamma_noise"
41,1041,"287dedf1d0604d7339bf2699355ae974","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.726276925450352,1.05264125919009,-0.326364333739743,"gamma_noise"
42,1042,"a0f4bf165f246f2d852e7cb15677c6d0","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.510653016716722,1.1014034249256,-0.590750408208882,"gamma_noise"
43,1043,"98bd9bf2f837f4d00af88dbb60b77b5c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.518002605843501,1.11253982682779,-0.594537220984291,"gamma_noise"
44,1044,"7fc16f6007b4caa0fad7b388de798f61","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.392295354996593,1.17526931057806,-0.782973955581466,"gamma_noise"
45,1045,"ea38700766ed00739f841a67050a1f0f","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.450760214299376,1.09973089460344,-0.64897068030406,"gamma_noise"
