"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","evaluation_seed","logLik","status"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,1,1,21262301,-177.869289481037,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,1,2,21262302,-177.922348948112,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,1,3,21262303,-177.896529446901,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,1,4,21262304,-177.933568485306,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,1,5,21262305,-177.908924394673,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,2,1,21263301,-177.878615602684,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,2,2,21263302,-177.864666982682,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,2,3,21263303,-177.872412267405,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,2,4,21263304,-177.85297289124,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,2,5,21263305,-177.886133232369,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,3,1,21264301,-177.847812993803,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,3,2,21264302,-177.887371054053,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,3,3,21264303,-177.868938566673,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,3,4,21264304,-177.871622229279,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,3,5,21264305,-177.880149548865,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,4,1,21265301,-177.873406426481,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,4,2,21265302,-177.873854502806,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,4,3,21265303,-177.874118102904,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,4,4,21265304,-177.883879359491,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,4,5,21265305,-177.871844927618,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,5,1,21266301,-177.877794959199,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,5,2,21266302,-177.896010404352,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,5,3,21266303,-177.899623044678,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,5,4,21266304,-177.883655481648,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,5,5,21266305,-177.868992410316,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,6,1,21267301,-177.884157717152,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,6,2,21267302,-177.873893450604,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,6,3,21267303,-177.863099119503,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,6,4,21267304,-177.866363995363,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,6,5,21267305,-177.88015326651,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,7,1,21268301,-177.897622743949,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,7,2,21268302,-177.860995072754,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,7,3,21268303,-177.879334649489,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,7,4,21268304,-177.851341434673,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,7,5,21268305,-177.872519033593,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,8,1,21269301,-177.862128387766,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,8,2,21269302,-177.867444856417,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,8,3,21269303,-177.859990583874,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,8,4,21269304,-177.895381130326,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,8,5,21269305,-177.895894738817,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,9,1,21270301,-177.843869638713,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,9,2,21270302,-177.874696908924,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,9,3,21270303,-177.850590813594,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,9,4,21270304,-177.882912070426,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,9,5,21270305,-177.874988559057,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,1,21271301,-177.866712270572,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,2,21271302,-177.883707657213,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,3,21271303,-177.875477912702,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,4,21271304,-177.892147794895,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,5,21271305,-177.873268019444,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,1,22262301,-187.687972178014,"success"
