"task_id","simulation_seed","observed_data_md5","model","display_model","n_observation_times","RSS","RMSE","mean_error","AOB","mean_error_through_5","mean_error_after_5"
1,1001,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise","Gamma-noise",70,13.9519470935589,0.446445438892575,0.273543835850054,0.273543835850054,0.198662331705919,0.34842533999419
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise","Gamma-noise",70,17.760754525024,0.503711290962591,0.316868238807433,0.316868238807433,0.328943002583787,0.304793475031078
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise","Gamma-noise",70,44.3758421396823,0.796203869618493,-0.578655360756867,0.578655360756867,-0.622995616973642,-0.534315104540092
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise","Gamma-noise",70,17.2261548716354,0.496072501493128,0.280258293078012,0.280258293078012,0.0345616225435907,0.525954963612433
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise","Gamma-noise",70,18.5333928327419,0.514551022497726,-0.0656804701051087,0.0656804701051087,-0.0498666620855599,-0.0814942781246574
6,1006,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise","Gamma-noise",70,18.9110775243755,0.519767496432994,-0.0518231428437162,0.0518231428437162,-0.400809106397149,0.297162820709717
7,1007,"c23f10d0daa427c993e4ece1079ed751","gamma_noise","Gamma-noise",70,21.9030643413312,0.559375472434996,0.430343841430011,0.430343841430011,0.34040035471572,0.520287328144302
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise","Gamma-noise",70,14.9334864808938,0.461882583732733,0.157846063775461,0.157846063775461,0.0334171585179875,0.282274969032934
9,1009,"51101219b554b4802624e043f09d6160","gamma_noise","Gamma-noise",70,13.870928145382,0.445147297377621,0.251902317347823,0.251902317347823,0.12958219999328,0.374222434702366
10,1010,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise","Gamma-noise",70,22.9231133888194,0.572252608916469,-0.0853432709513923,0.0853432709513923,-0.489415764002221,0.318729222099437
11,1011,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise","Gamma-noise",70,19.7452759457683,0.531107682729061,0.324495819398569,0.324495819398569,0.131670035566688,0.51732160323045
12,1012,"05f564b562cd69afde749fbba393d734","gamma_noise","Gamma-noise",70,35.6456760516271,0.713599287832235,-0.190139256674929,0.190139256674929,-0.0438439510448918,-0.336434562304967
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise","Gamma-noise",70,21.9209548988677,0.559603876465535,0.322786360099803,0.322786360099803,0.145985155107459,0.499587565092147
14,1014,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise","Gamma-noise",70,18.3629361284721,0.512179323067783,0.230957839009052,0.230957839009052,-0.0299826458263337,0.491898323844438
15,1015,"ae056eafb87645cec401ccb46346269b","gamma_noise","Gamma-noise",70,14.1841811267334,0.450145708580383,0.090880535597218,0.090880535597218,0.0551081460528806,0.126652925141555
16,1016,"a714e996eac59ec21285ac81b9fb5223","gamma_noise","Gamma-noise",70,15.2662783129452,0.467000738955445,0.159608718543685,0.159608718543685,-0.01209763333947,0.33131507042684
17,1017,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise","Gamma-noise",70,23.1805014927925,0.575456359184263,-0.280093504082475,0.280093504082475,-0.481687676720426,-0.0784993314445243
18,1018,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise","Gamma-noise",70,18.106551656792,0.508591214698462,-0.066182335270125,0.066182335270125,-0.410524512957513,0.278159842417263
19,1019,"13d489a8a65aa7a169791da7e2e871a6","gamma_noise","Gamma-noise",70,23.4571499130119,0.578880075330336,-0.123746909816552,0.123746909816552,0.137529236513098,-0.385023056146203
20,1020,"714f6bb12c5d63009433470452ca002b","gamma_noise","Gamma-noise",70,13.4513064211179,0.438362316242723,0.120169428402923,0.120169428402923,-0.0614662515703252,0.301805108376172
21,1021,"c46a7b2a22c4a8bed8a3c2537dbc0243","gamma_noise","Gamma-noise",70,14.1856626308433,0.450169216292898,-0.0483038289030676,0.0483038289030676,-0.0119992465034611,-0.084608411302674
22,1022,"37fb1b826b530c406841fb3dc0dd2a19","gamma_noise","Gamma-noise",70,8.34071117817447,0.345185481779092,0.0900177941172016,0.0900177941172016,0.0066913767597654,0.173344211474638
23,1023,"5391b651cef3ef3752fc04bfb4f6d8ab","gamma_noise","Gamma-noise",70,19.4050648396976,0.526512309443645,0.171431292387248,0.171431292387248,0.191646802226336,0.15121578254816
