"task_id","simulation_seed","simulation_attempt","observed_data_md5","simulated_data_md5","acceptance_threshold","recomputed_max_H","accepted","source_experiment","source_task_directory","gamma_model","gamma_Nmif","gamma_logLik"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","ee3643ba7c41e2ac38cd14f3100aa01c",20,207,TRUE,"experiment_4_nmif600_model_comparison","task_001","gamma_noise",600,-184.850408826423
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","9caa860654ee7107b6606c8d809241ee",20,278,TRUE,"experiment_4_nmif600_model_comparison","task_002","gamma_noise",600,-195.971614451367
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","a8269b34b6fb3470d4b9b70ae948c6b9",20,59,TRUE,"experiment_4_nmif600_model_comparison","task_003","gamma_noise",600,-142.272929373028
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","666740c6c641f44b749001ed690be0c1",20,196,TRUE,"experiment_4_nmif600_model_comparison","task_004","gamma_noise",600,-206.239869886419
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","4810b632a822530c2ef4e4f033dda7d0",20,217,TRUE,"experiment_4_nmif600_model_comparison","task_005","gamma_noise",600,-189.251842616498
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","beed8f15cfcd8487fbab55fd06f07e7b",20,137,TRUE,"experiment_4_nmif600_model_comparison","task_006","gamma_noise",600,-190.02482222703
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","7539ed29e4651cc7158abe7de9a44835",20,245,TRUE,"experiment_4_nmif600_model_comparison","task_007","gamma_noise",600,-204.858831052355
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","9e0b09b8267ca4b0268b037718809819",20,241,TRUE,"experiment_4_nmif600_model_comparison","task_008","gamma_noise",600,-217.314205681951
9,1009,1,"51101219b554b4802624e043f09d6160","0467a61b1e96086325a50956081a036c",20,198,TRUE,"experiment_4_nmif600_model_comparison","task_009","gamma_noise",600,-200.242905098428
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","d58171ca7db149f2673238ab82fc97ce",20,99,TRUE,"experiment_4_nmif600_model_comparison","task_010","gamma_noise",600,-188.376413822878
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","abad3fed6f23ce62931a3d1b5d1b6ab6",20,215,TRUE,"experiment_4_nmif600_model_comparison","task_011","gamma_noise",600,-220.047366722123
12,1012,1,"05f564b562cd69afde749fbba393d734","9e13cc4c5dfe45807c7b7e3b0dc369bd",20,234,TRUE,"experiment_4_nmif600_model_comparison","task_012","gamma_noise",600,-192.812784269569
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","3d3531ba4d42c4bdf2541399f20c311f",20,195,TRUE,"experiment_4_nmif600_model_comparison","task_013","gamma_noise",600,-197.946453812945
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","3cb3ff959edcd1eea1a2eb8911b7e804",20,218,TRUE,"experiment_4_nmif600_model_comparison","task_014","gamma_noise",600,-216.033772866638
15,1015,1,"ae056eafb87645cec401ccb46346269b","24fc02a6b0524e129b89cb43111ec761",20,185,TRUE,"experiment_4_nmif600_model_comparison","task_015","gamma_noise",600,-210.256839044469
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","f5b48302c17ca9443d61205152044d81",20,141,TRUE,"experiment_4_nmif600_model_comparison","task_016","gamma_noise",600,-197.07156278386
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","9c3298a0789d3a4dcb76837c5a2c91af",20,85,TRUE,"experiment_4_nmif600_model_comparison","task_017","gamma_noise",600,-165.554055397651
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","99df8b96c511cc1bf51ae9cd2e8453de",20,148,TRUE,"experiment_4_nmif600_model_comparison","task_018","gamma_noise",600,-174.008088282139
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","86f66d76f937c153f6500f14c236e994",20,228,TRUE,"experiment_4_nmif600_model_comparison","task_019","gamma_noise",600,-191.611025372239
20,1020,1,"714f6bb12c5d63009433470452ca002b","4f5ad0d6181f16adc62ce7358f720c00",20,185,TRUE,"experiment_4_nmif600_model_comparison","task_020","gamma_noise",600,-206.534665047698
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","6245ebe572210d33ed74e760ca34b7ef",20,207,TRUE,"experiment_4_nmif600_model_comparison","task_021","gamma_noise",600,-188.597676300924
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","aee07f960e1096fca2b4d3aa96cdebca",20,190,TRUE,"experiment_4_nmif600_model_comparison","task_022","gamma_noise",600,-185.268162670858
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","56980480818abd886d3c243afbc5ea09",20,188,TRUE,"experiment_4_nmif600_model_comparison","task_023","gamma_noise",600,-192.09612540642
24,1024,1,"f17101a77a91a5858651ca092461a15e","a593a4aa980dec53da43562f4b496142",20,144,TRUE,"experiment_4_nmif600_model_comparison","task_024","gamma_noise",600,-192.427775375609
25,1025,1,"5bffd9597ff51651a7b3c018b0060e43","2c2ff9b5af66a1fa88400124d5f47f14",20,209,TRUE,"experiment_4_nmif600_model_comparison","task_025","gamma_noise",600,-189.237378241064
26,1026,1,"7d638818fac5c183766d7bd337251990","0874b976cfe757ae7c7fab29d4d80d8b",20,228,TRUE,"experiment_4_nmif600_model_comparison","task_026","gamma_noise",600,-195.213123760064
27,1027,1,"febf6d542123ef85142ab3d7c88fd4f9","9630808f238ce1eff4ff247e2fb2c48f",20,202,TRUE,"experiment_4_nmif600_model_comparison","task_027","gamma_noise",600,-195.42408107666
28,1028,1,"fa30cb31cb12a8463966a31a9ac1f66d","c38d60ce1e307e8f8c2e9cd8a48fdab1",20,185,TRUE,"experiment_4_nmif600_model_comparison","task_028","gamma_noise",600,-200.721368011115
29,1029,1,"f88e4728f80479179227d46e3ae73be8","d3463a0cb0575e52aa9852ce4aaa148d",20,126,TRUE,"experiment_4_nmif600_model_comparison","task_029","gamma_noise",600,-176.992125283521
30,1030,1,"6d8fcd9da06daac4afecfcdf2af73043","bb9c27f3080a520623ce7971321f0241",20,187,TRUE,"experiment_4_nmif600_model_comparison","task_030","gamma_noise",600,-213.21592800361
31,1031,1,"1f4f623a1599fc68865ccca5c8e38092","bf739af969573649bcdbd1c61cee1aa1",20,213,TRUE,"experiment_4_nmif600_model_comparison","task_031","gamma_noise",600,-167.890744941691
32,1032,1,"8b18f38744449f8e8c5016a5c62a9db0","7413e5ae4bdb06918014686530725fe1",20,182,TRUE,"experiment_4_nmif600_model_comparison","task_032","gamma_noise",600,-207.025634644555
33,1033,1,"1c656b251cec47b7f90e7590d6f84c85","a5fc0baadb03d40551faf6ac54fb80e3",20,236,TRUE,"experiment_4_nmif600_model_comparison","task_033","gamma_noise",600,-209.769105417738
34,1034,1,"6295649cce30d443915163e1f486574c","01adfcd79f49ad872e85cbf4456986ee",20,238,TRUE,"experiment_4_nmif600_model_comparison","task_034","gamma_noise",600,-188.802429051806
