"model","task_id","run","variable","n_tail_points","slope_per_100_iterations","tail_mean","tail_sd"
"gamma_noise",1,1,"loglik",99,0.0278105792520418,-184.876617448915,0.0974770205350035
"gamma_noise",1,1,"B0",100,0.0126424126898984,4.34186227598639,0.00565809622128867
"gamma_noise",1,1,"sigma_beta",100,0.00237983516669909,0.207026199333918,0.00082339110560506
"gamma_noise",1,2,"loglik",99,-0.007951413013748,-184.864586777695,0.0870717545184068
"gamma_noise",1,2,"B0",100,0.03240001766066,4.34129051237803,0.0151913952926078
"gamma_noise",1,2,"sigma_beta",100,-0.000634155544946849,0.206819061628896,0.000782463832928239
"gamma_noise",1,3,"loglik",99,0.0944180232914209,-184.867762011307,0.103978756910112
"gamma_noise",1,3,"B0",100,0.0048116350475026,4.37681659216261,0.00567945024478835
"gamma_noise",1,3,"sigma_beta",100,-0.000287151412810612,0.198674927789087,0.000437862862865647
"gamma_noise",1,4,"loglik",99,-0.0347029132148102,-184.87083384529,0.0907035921156943
"gamma_noise",1,4,"B0",100,0.00419810189990564,4.39026631387167,0.0021317572436824
"gamma_noise",1,4,"sigma_beta",100,0.000456896493403929,0.201526442207123,0.000181062215292705
"gamma_noise",1,5,"loglik",99,0.0107198580014471,-184.877750766417,0.0997927394112402
"gamma_noise",1,5,"B0",100,0.00453483124580091,4.35627616009946,0.00272233674816753
"gamma_noise",1,5,"sigma_beta",100,-0.000183287421030097,0.205632363918605,0.000259426008752762
"gamma_noise",1,6,"loglik",99,0.0290287353121598,-184.871459635623,0.0763337349789365
"gamma_noise",1,6,"B0",100,-0.000994997331681037,4.37338407188892,0.00611790198498312
"gamma_noise",1,6,"sigma_beta",100,0.000346486636024294,0.210976958142533,0.000245415356312657
"gamma_noise",1,7,"loglik",99,0.0175233279542611,-184.86698409029,0.095126681010521
"gamma_noise",1,7,"B0",100,-0.0201321709023151,4.42627301315077,0.0064571303559397
"gamma_noise",1,7,"sigma_beta",100,0.00137499705950506,0.207487471568795,0.000510967750997935
"gamma_noise",1,8,"loglik",99,0.000545616203733081,-184.864037413877,0.0929299029598636
"gamma_noise",1,8,"B0",100,0.00119058421818601,4.39888842050762,0.00168948308868121
"gamma_noise",1,8,"sigma_beta",100,0.000303809453281348,0.211370561321357,0.00074180412166913
"gamma_noise",1,9,"loglik",99,-0.0181000316934749,-184.886209201954,0.105277710991181
"gamma_noise",1,9,"B0",100,-0.0138557816519082,4.40508434493337,0.00561971945471571
"gamma_noise",1,9,"sigma_beta",100,-0.00256315077352696,0.221880636324747,0.000998938288114326
"gamma_noise",50,1,"loglik",99,-0.0882501498520911,-199.785603994162,0.124714053719229
"gamma_noise",50,1,"B0",100,-0.0131615293677566,4.71680799317473,0.00434114153286032
"gamma_noise",50,1,"sigma_beta",100,7.18797775648932e-05,0.166489860408708,0.000144093405278093
"gamma_noise",50,2,"loglik",99,0.0352205357750606,-199.81332696708,0.13394397046526
"gamma_noise",50,2,"B0",100,-0.00235235982371416,4.73167493564671,0.00187072567957425
"gamma_noise",50,2,"sigma_beta",100,0.00102339433221831,0.158703746495961,0.000312862199955746
"gamma_noise",50,3,"loglik",99,-0.0388443005841057,-199.778621976258,0.109050867631277
"gamma_noise",50,3,"B0",100,0.00675237306179525,4.7437426226335,0.00387384804432414
"gamma_noise",50,3,"sigma_beta",100,0.00068279051651029,0.16746168512322,0.000561022121594658
"gamma_noise",50,4,"loglik",99,-0.0395820751981437,-199.825630785269,0.114853294517387
"gamma_noise",50,4,"B0",100,0.0203902894558611,4.74828318204923,0.00733767147864248
"gamma_noise",50,4,"sigma_beta",100,-0.000395322118331961,0.180416272057709,0.00022117285884232
